21 12 20 JUAN PEREZ LOPEZ 59 ALEJANDRA MENDEZ
01 10 20 CAROLINA HERNANDEZ MONTERROZA 34 LISSETH BLANCO
23 12 21 ADRIANA REY SANCHEZ 45 LISSETH BLANCO
23 11 21 MARCELA REY SANCHEZ 65 LISSETH BLANCO
23 09 20 ALEJANDRO ABONDANO ACEVEDO 56 ANGELA MAHECHA
13 06 20 ALEXANDER CARVAJAL VARGAS 34 MARCELA REY
15 02 20 CATALINA ACERO CARO 32 LISSETH BLANCO
16 08 20 LILIANA CRUZ GARCIA 23 ANGELA MAHECHA
16 07 21 FELIPE VILLA MONROY 20 MARCELA REY
19 10 20 ANGELA MAHECHA PIÑEROS 12 MARCELA REY
12 07 21 LISSETH BLANCO CONCHA 50 ANGELA MAHECHA
28 04 21 MARIA ROCHA GARCIA 2 MARCELA REY
12 01 21 ANGIE FERNANDEZ MARTINEZ 23 ANGELA MAHECHA
23 03 20 BRIGITE POLANCO RUIZ 40 LISSETH BLANCO
21 12 21 CAMILO VILLAMIZAR ARISTIZABAL 80 LISSETH BLANCO
31 11 21 CAMILO BOTERO CORTES 23 LISSETH BLANCO
21 06 20 CARLOS POLO CASTELLANOS 48 ANGELA MAHECHA 
02 05 20 CARLOS CASTANO CONTRERAS 90 MARCELA REY
23 09 21 CAMILO CORTES MONTEJO 28 MARCELA REY
01 02 21 CAMILO GOMEZ RODRIGUEZ 43 MARCELA REY
